college_code,college_name,type,region,district,local_area
ACEE,"ADARSH COLLEGE OF ENGINEERING",PVT,,EG,AU
ADCP,"ADARSHA COLL OF PHARMACY",PVT,,EG,AU
ANURSF,"ADI KAVI NANNAYA UNIVERSITY
COLLEGE OF ENGG.-SELF FINANCE",SF,,EG,AU
BVCE,"B V CHALAMAIAH ENGINEERING
COLLEGE",PVT,,EG,AU
BVCR,"BVC COLLEGE OF ENGINEERING",PVT,,EG,AU
BVTS,"BONAM VENKATA CHALAMAIAH INST.
OF TECH AND SCI.",PVT,,EG,AU
CHKN,"CHAITANYA INST. OF SCI. AND
TECHNOLOGY",PVT,,EG,AU
GIET,"GIET ENGINEERING COLLEGE",PVT,,EG,AU
IDEL,"IDEAL INSTITUTE OF TECHNOLOGY",PVT,,EG,AU
ISTS,"INTERNATIONAL SCHOOL OF TECH AND
SCI FOR WOMEN",PVT,,EG,AU
JNKFSF,"SCHOOL OF FOOD TECHNOLOGY JNTUK
KAKINADA-SELF FINANCE",SF,,EG,AU
JNTK,"JNTUK COLLEGE OF ENGG. KAKINADA",UNIV,,EG,AU
JNTKSF,"JNTUK COLLEGE OF ENGG. KAKINADA-
SELF FINANCE",SF,,EG,AU
JNTKSS,"JNTUK COLLEGE OF ENGG. KAKINADA-
SELF SUPPORTING",SS,,EG,AU
KIEK,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,,EG,AU
KIET,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,,EG,AU
KIEW,"KAKINADA INST OF ENGG AND
TECHNOLOGY FOR WOMEN",PVT,,EG,AU
KISR,"KAKINADA INSTITUTE OF TECHNOLOGY
SCIENCES",PVT,,EG,AU
KTSP,"KAKINADA INSTITUTE OF TECHNOLOGY
AND SCIENCE",PVT,,EG,AU
LENO,"LENORA COLLEGE OF ENGINEERING",PVT,,EG,AU
PRAG,"PRAGATI ENGINEERING COLLEGE",PVT,,EG,AU
PREC,"DR PAUL RAJS ENGINEERING COLLEGE",PVT,,EG,AU
PYDE,"PYDAH COLL OF ENGINEERING",PVT,,EG,AU
PYDP,"PYDAH COLLEGE OF PHARMACY",PVT,,EG,AU
RIET,"RAJAMAHENDRI INST OF ENGG AND
TECHNOLOGY",PVT,,EG,AU
SRIN,"SRINIVASA INST OF ENGG AND
TECHNOLOGY",PVT,,EG,AU
VSMR,"V.S.M COLLEGE OF ENGINEERING",PVT,,EG,AU
AMRN,"A.M.REDDY MEMORIAL COLL. OF
ENGINEERING",PVT,,GTR,AU
ANCUSF,"DR.YSR COLLEGE OF ENGINEERING &
TECHNOLOGY-SELF FINANCE",SF,,GTR,AU
ANUPSF,"ANU COLL OF PHARMACEUTICAL
SCIENCES-SELF FINANCE",SF,,GTR,AU
BECB,"BAPATLA ENGINEERING COLLEGE",PVT,,GTR,AU
BWEC,"BAPATLA WOMENS ENGG COLLEGE",PVT,,GTR,AU
CIET,"CHALAPATHI INST OF ENGG AND
TECHNOLOGY",PVT,,GTR,AU
CIPS,"CHEBROLU HANUMAIAH INST. OF
PHARM SCIENCES",PVT,,GTR,AU
CITY,"CHALAPATHI INST OF TECHNOLOGY",PVT,,GTR,AU
CLPT,"CHALAPATHI INSTITUTE OF
PHARMACEUTICAL SCI.",PVT,,GTR,AU
ESWR,"ESWAR COLLEGE OF ENGINEERING",PVT,,GTR,AU
GVRS,"G V R AND S COLLEGE OF ENGG. AND
TECHNOLOGY",PVT,,GTR,AU
HICP,"HINDU COLLEGE OF PHARMACY",PVT,,GTR,AU
HIND,"HINDU COLLEGE OF ENGINEERING AND
TECHNOLOGY",PVT,,GTR,AU
JNTN,"JNTUK COLLEGE OF ENGINEERING
NARSARAOPETA",UNIV,,GTR,AU
KHIT,"KALLAM HARANADH REDDY INST OF
TECH",PVT,,GTR,AU
KITG,"KITS  AKSHAR INSTITUTE OF
TECHNOLOGY",PVT,,GTR,AU
KITS,"KKR AND KSR INST OF TECHNOLOGY
AND SCI",PVT,,GTR,AU
LOYL,"LOYOLA INSTITUTE OF TECHNOLOGY
AND MGMT",PVT,,GTR,AU
MAMN,"M.A.M COLLEGE OF PHARMACY",PVT,,GTR,AU
MAMW,"M A M WOMEN'S ENGINEERING
COLLEGE",PVT,,GTR,AU
MLEW,"MALINENI LAKSHMAIAH WOMENS
ENGG. COLLEGE",PVT,,GTR,AU
MPLG,"SRI MITTAPALLI COLLEGE OF
ENGINEERING",PVT,,GTR,AU
NEWS,"NEWTONS INST OF SCI AND TECH",PVT,,GTR,AU
NEWT,"NEWTON INSTITUTE OF ENGINEERING",PVT,,GTR,AU
NRIT,"NRI INSTT OF TECHNOLOGY",PVT,,GTR,AU
NRML,"NIRMALA COLL. OF PHARM",PVT,,GTR,AU
NSPE,"NARSARAOPETA ENGINEERING COLLEGE",PVT,,GTR,AU
PIIT,"PRIYADARSHINI INST OF TECH AND
MGMT",PVT,,GTR,AU
PITT,"PRIYADARSHINI INST. OF TECHNOLOGY
AND SCIENCES",PVT,,GTR,AU
PITW,"PRIYADARSHINI INST. OF TECH AND
SCIENCES FOR WOMEN",PVT,,GTR,AU
RVIT,"R V INSTITUTE OF TECHNOLOGY",PVT,,GTR,AU
RVJC,"R V R AND J C COLLEGE OF
ENGINEERING",PVT,,GTR,AU
TMLN,"TIRUMALA ENGINEERING COLLEGE",PVT,,GTR,AU
UNIV,"UNIVERSAL COLLEGE OF ENGG AND
TECHNOLOGY",PVT,,GTR,AU
VLIT,"VIGNANS LARA INST. OF TECHNOLOGY
AND SCI",PVT,,GTR,AU
VNIW,"VIGNANS NIRULA INST OF TECH. AND
SCI FOR WOMEN",PVT,,GTR,AU
VNRC,"VELAGA NAGESWARA RAO COLL OF
ENGINEERING",PVT,,GTR,AU
VPCV,"VIGNAN PHARMACY COLLEGE",PVT,,GTR,AU
VVITU,"VASIREDDY VENKATADRI INST. OF
TECHNOLOGY",PVT,,GTR,AU
ALIT,"ANDHRA LOYOLA INSTT OF ENGG AND
TECHNOLOGY",PVT,,KRI,AU
ANRG,"AKKINENI NAGESWARA RAO COLLEGE OF ENGINEERING AND TECHNOLOGY",PVT,,KRI,AU
ASIP,"AMRITA SAI INST. OF SCIENCE AND
TECHNOLOGY",PVT,,KRI,AU
DHAN,"DHANEKULA INST OF ENGG
TECHNOLOGY",PVT,,KRI,AU
GDLV,"SESHADRI RAO GUDLAVALLERU
ENGINEERING COLLEGE",PVT,,KRI,AU
KRUESF,"KRISHNA UNIVERSITY COLLEGE OF ENGG AND TECHNOLOGY-SELF FINAN",SF,,KRI,AU
LBCE,"LAKIREDDY BALIREDDY COLLEGE OF
ENGINEERING",PVT,,KRI,AU
LIMT,"LINGAYAS INST OF MGMT AND
TECHNOLOGY",PVT,,KRI,AU
MICT,"DVR AND DR.HS MIC COLLEGE OF
TECHNOLOGY",PVT,,KRI,AU
MIET,"MANDAVA INSTITUTE OF ENGG AND
TECHNOLOGY",PVT,,KRI,AU
MVRS,"M.V.R.COLL OF ENGINEERING AND
TECHNOLOGY",PVT,,KRI,AU
NRIA,"NRI INSTITUTE OF TECHNOLOGY",PVT,,KRI,AU
PPDV,"PALADUGU PARVATHI DEVI COLLEGE OF
ENGG AND TECH",PVT,,KRI,AU
PPSV,"PRASAD V POTLURI SIDDHARTHA INSTT
OF TECHNOLOGY",PVT,,KRI,AU
PSCV,"POTTI SRIRAMULU COLLEGE OF ENGG
AND TECHNOLOGY",PVT,,KRI,AU
RKCE,"R.K.COLLEGE OF ENGINEERING",PVT,,KRI,AU
SIEN,"SRI SARATHI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,,KRI,AU
SRKI,"S R K INST. OF TECHNOLOGY",PVT,,KRI,AU
SVET,"SRI VASAVI INSTT OF ENGINEERING AND
TECHNOLOGY",PVT,,KRI,AU
SVHE,"YJR DMS COLLEGE OF ENGINEERING",PVT,,KRI,AU
URCE,"USHA RAMA COLL OF ENGG AND
TECHNOLOGY",PVT,,KRI,AU
VCTN,"VIKAS COLLEGE OF ENGINEERING AND
TECHNOLOGY",PVT,,KRI,AU
VGTN,"VIKAS GROUP OF INSTITUTIONS",PVT,,KRI,AU
VHNI,"SREE VAHINI INSTT OF SCIENCE AND
TECHNOLOGY",PVT,,KRI,AU
VITW,"VIJAYA INST. OF TECHNOLOGY FOR
WOMEN",PVT,,KRI,AU
VRSP,"K V S R SIDDHARTHA COLLEGE OF
PHARMACEUTICAL SCI.S",PVT,,KRI,AU
VVGV,"VKR VNB AND AGK ENGINEERING
COLLEGE",PVT,,KRI,AU
ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PVT,,PKS,AU
ANNP,"ST.ANNS COLLEGE OF PHARAMACY",PVT,,PKS,AU
ANSN,"ST. ANNS COLLEGE OF ENGG. AND
TECHNOLOGY",PVT,,PKS,AU
BVSR,"BVSR ENGINEERING COLLEGE",PVT,,PKS,AU
CCVY,"VRS AND YRN COLLEGE OF ENGG. AND
TECHNOLOGY",PVT,,PKS,AU
CECC,"CHIRALA ENGINEERING COLLEGE",PVT,,PKS,AU
IITM,"INDIRA INST OF TECHNOLOGY SCI",PVT,,PKS,AU
KCIT,"KRISHNA CHAITANYA INST OF
TECHNOLOGY AND SCIENCES",PVT,,PKS,AU
MSEW,"MALINENI SUSEELAMMA WOMENS
ENGG COLLEGE",PVT,,PKS,AU
PACE,"PACE INSTITUTE OF TECHNOLOGY AND
SCIENCES",PVT,,PKS,AU
PKSK,"PRAKASAM ENGINEERING COLLEGE",PVT,,PKS,AU
QISE,"QIS COLLEGE OF ENGG. AND
TECHNOLOGY",PVT,,PKS,AU
QISP,"QIS COLLEGE OF PHARMACY",PVT,,PKS,AU
RPRA,"RISE KRISHNA SAI PRAKASAM GROUP
OF INSTITUTIONS",PVT,,PKS,AU
SGIT,"DR SAMUEL GEORGE INSTITUTE OF
ENGG. AND TECHNOLOGY",PVT,,PKS,AU
SHEC,"SRI HARSHINI COLLEGE OF
ENGINEERING AND TECHNOLOGY FOR WOMEN",PVT,,PKS,AU
ADIT,"ADITYA INSTITUTE OF TECHNOLOGY
AND MGMT",PVT,,SKL,AU
BRAUSF,"COLLEGE OF ENGINEERING BR
AMBEDKAR UNIV SELF FINANCE",SF,,SKL,AU
GMRI,"G M R INSTITUTE OF TECHNOLOGY",PVT,,SKL,AU
SSCE,"SRI SIVANI COLLEGE OF ENGINEERING",PVT,,SKL,AU
VETS,"SR VENKATESWARA COLL OF
ENGINEERING",PVT,,SKL,AU
VNKS,"SRI VENKATESWARA COLLEGE OF
PHARMACY",PVT,,SKL,AU
ACEV,"ALWAR COLLEGE OF ENGINEERING",PVT,,VSP,AU
ANIL,"ANIL NEERUKONDA INSTITUTE OF
TECHNOLOGY AND SCI",PVT,,VSP,AU
AUCE,"A U COLLEGE OF ENGG.
VISAKHAPATNAM",UNIV,,VSP,AU
AUCESF,"A U COLLEGE OF ENGG-SELF FINANCE
VISAKHAPATNAM",SF,,VSP,AU
AUCP,"AU COLLEGE OF ENGG. SCHOOL OF
PHARMACY",UNIV,,VSP,AU
AUCPSF,"AU COLLEGE OF ENGG.SCHOOL OF
PHARMACY-SELF FINANCE",SF,,VSP,AU
AUEWSF,"A U COLLEGE OF ENGG FOR WOMEN-
SELF FINANCE",SF,,VSP,AU
AVEN,"AVANTHI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,,VSP,AU
BABA,"BABA INST OF TECH AND SCIENCES",PVT,,VSP,AU
BCET,"BEHARA COLLEGE OF ENGINEERING
AND TECHNOLOGY",PVT,,VSP,AU
CEVP,"CHAITANYA ENGINEERING COLLEGE",PVT,,VSP,AU
DIET,"DADI INSTT. OF ENGINEERING AND
TECHNOLOGY",PVT,,VSP,AU
DLBC,"DR L BULLAYYA COLL EGE OF
ENGINEERING",PVT,,VSP,AU
GITS,"GONNA INST OF INFO TECHNOLOGY
SCIENCES",PVT,,VSP,AU
GVPE,"GAYATHRI VIDYA PARISHAD COLL. OF
ENGINEERING",PVT,,VSP,AU
GVPT,"G V P COLLEGE FOR DEGREE AND PG
COURSES",PVT,,VSP,AU
GVPW,"GAYATHRI VIDYA PARISHAD COLL OF
ENGG FOR WOMEN",PVT,,VSP,AU
NSRE,"N S RAJU INSTITUTE OF ENGG AND
TECHNOLOGY",PVT,,VSP,AU
NSRT,"NADIMPALLI SATYANARAYANA RAJU
INSTITUTE OF TECHNOLOGY",PVT,,VSP,AU
RAGU,"RAGHU ENGINEERING COLLEGE",PVT,,VSP,AU
SAVE,"SANKETHIKA VIDYA PARISHAD
ENGINEERING COLLEGE",PVT,,VSP,AU
SIMH,"SIMHADRI EDNL SOC GRP OF INSTNS",PVT,,VSP,AU
