college_code,official_website,nirf_rank,nirf_rank_band,nirf_year,nirf_category,placement_year,placement_rate,students_placed,average_package,median_package,highest_package,source_url
JNTK,https://www.jntuk.edu.in,,101-150,2024,Engineering,2024,82,620,6.2,5.5,33,https://www.jntuk.edu.in/placement-cell/
PRAG,https://www.pragati.ac.in,,,,,,,,,,,https://www.pragati.ac.in
BECB,https://www.becbapatla.ac.in,,,,,,,,,,,https://www.becbapatla.ac.in
RVJC,https://www.rvrjc.org,,201-250,2024,Engineering,2024,76.5,710,5.5,5,36,https://www.rvrjc.org/placements/
VLIT,https://www.vignanlara.org,,,,,,,,,,,https://www.vignanlara.org
ALIT,https://www.aliet.ac.in,,,,,,,,,,,https://www.aliet.ac.in
GDLV,https://www.gecgudlavalleru.ac.in,,,,,,,,,,,https://www.gecgudlavalleru.ac.in
KRUESF,https://www.kru.ac.in,,,,,,,,,,,https://www.kru.ac.in
LBCE,https://www.lbrce.ac.in,,201-250,2024,Engineering,2024,75,650,5.4,4.8,30,https://www.lbrce.ac.in/placements.php
NRIA,https://www.nriit.edu.in,,,,,,,,,,,https://www.nriit.edu.in
PPSV,https://www.pvpsiddhartha.ac.in,,,,,,,,,,,https://www.pvpsiddhartha.ac.in
PACE,https://www.pace.ac.in,,,,,,,,,,,https://www.pace.ac.in
QISE,https://www.qiscet.edu.in,,,,,,,,,,,https://www.qiscet.edu.in
ADIT,https://www.adityatekkali.edu.in,,,,,,,,,,,https://www.adityatekkali.edu.in
BRAUSF,https://www.brau.edu.in,,,,,,,,,,,https://www.brau.edu.in
GMRI,https://www.gmrit.edu.in,,151-200,2024,Engineering,2024,81,720,6,5.2,40,https://www.gmrit.edu.in/placements.php
ANIL,https://www.anits.edu.in,,,,,,,,,,,https://www.anits.edu.in
AUCE,https://www.andhrauniversity.edu.in,94,,2024,Engineering,2024,85,450,6.8,6,18,https://www.andhrauniversity.edu.in/placements.html
GVPE,https://www.gvpce.ac.in,,201-250,2024,Engineering,2024,82.5,920,6.5,5.8,44,https://www.gvpce.ac.in/placements.html
GVPW,https://www.gvpcew.ac.in,,,,,,,,,,,https://www.gvpcew.ac.in
RAGU,https://www.raghuenggcollege.com,,,,,,,,,,,https://www.raghuenggcollege.com
VIEW,https://www.view.edu.in,,,,,,,,,,,https://www.view.edu.in
VIVP,https://www.vignanivit.edu.in,,,,,,,,,,,https://www.vignanivit.edu.in
MVRG,https://www.mvgrce.edu.in,,201-250,2024,Engineering,2024,76,680,5.5,4.8,28,https://www.mvgrce.edu.in/placements.php
CRRE,https://www.sircrrengg.ac.in,,,,,,,,,,,https://www.sircrrengg.ac.in
SASI,https://www.sasi.ac.in,,,,,,,,,,,https://www.sasi.ac.in
SRKR,https://www.srkr.ac.in,,201-250,2024,Engineering,2024,78,780,5.8,5.2,41,https://srkrec.ac.in/placements
VISW,https://www.svecw.edu.in,,,,,,,,,,,https://www.svecw.edu.in
VITB,https://www.vishnu.edu.in,,,,,,,,,,,https://www.vishnu.edu.in
VSVT,https://srivasaviengg.ac.in,,,,,,,,,,,https://srivasaviengg.ac.in
JNTA,https://www.jntua.ac.in,,151-200,2024,Engineering,2024,78.5,510,5.8,5,28,https://www.jntua.ac.in/placements/
SRIT,https://www.srit.ac.in,,,,,,,,,,,https://www.srit.ac.in
SVCE,https://www.svce.edu.in,,,,,,,,,,,https://www.svce.edu.in
SVCT,https://www.svcetedu.org,,,,,,,,,,,https://www.svcetedu.org
SVUC,https://svuniversity.edu.in,,151-200,2024,Engineering,2024,76,480,6,5.2,20,https://svuniversity.edu.in/placements
AITK,https://aitskadapa.ac.in,,,,,,,,,,,https://aitskadapa.ac.in
GPRE,https://www.gprec.ac.in,,201-250,2024,Engineering,2024,77,700,5.6,5,32,https://www.gprec.ac.in/placements/
RGIT,https://www.rgmcel.ac.in,,,,,,,,,,,https://www.rgmcel.ac.in
NBKR,https://www.nbkrist.co.in,,,,,,,,,,,https://www.nbkrist.co.in
SRMUPU,https://srmap.edu.in,,,,,,,,,,,https://srmap.edu.in
VITAPU,https://vitap.ac.in,,,,,,,,,,,https://vitap.ac.in
